id,comuna,sexo,edad,P1,P1_other,P2_1,P2_2,P2_3,P2_4,P2_5,P2_6,P3a,P3b,P4_1,P4_2,P4_3,P4_4,P4_5,P4_6,P4_7,P4_8,P4_9,P4_10,P4_11,P5_1,P5_2,P5_3,P5_4,P5_5,P5_6,P6,P7a,P7b,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6,P8_7,P9_1,P9_2,P9_3,P9_4,P10,P11a,P11b,P12,P13,P14,P15_1,P15_2,P15_3,P15_4,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P16_8,P17_1,P17_2,P17_3,P17_4,P17_5,P17_6,P17_7,P17_8,P17_9,eduentre,trabajo,estudio,edujefe,ocujefe,bienes_1,bienes_2,bienes_3,bienes_4,bienes_5,bienes_6,bienes_7,bienes_8,bienes_9,bienes_10,nedad,CUOTA,REGION,regiones,zonas,NSE,TNSE,NSE2,POND
316,Antofagasta,Hombre,18,Drogadicción,empty,Muy violento,Muy violento,Muy violento,Muy violento,Nada violento,Nada violento,Alcohol y drogas,Infidelidad,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Acuerdo,Desacuerdo,Sí,Programas juveniles,Programas de farándula,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí,Por miedo,Por vergüenza,Buscarías ayuda con gente de confianza,Un problema privado que debe ser solucionado por la pareja,Sí conoce,Sí,Sí,Sí,Sí,Muy frecuente,Muy frecuente,Muy frecuente,Poco frecuente,Muy frecuente,Poco frecuente,Poco frecuente,Muy frecuente,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,Sí le ha pasado,Sí le ha pasado,No le ha pasado,Media incompleta,No,Si,Media incompleta,Trabajo menores ocasionales e informales,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,H 15-19,2,Regiones,Norte,D,Bajo,D+E,1.194101461
317,Cerro Navia,Hombre,23,Violencia,empty,Algo violento,Muy violento,Muy violento,Muy violento,Algo violento,Algo violento,Alcohol y drogas,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,No,Teleseries,Programas de farándula,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Buscarías ayuda con gente de confianza,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Muy frecuente,Frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Poco frecuente,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,Sí le ha pasado,No le ha pasado,Técnica superior completa,No,Si,Media completa,Empleado administrativo medio y bajo vendedor secretaria técnico especializado profesor,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20-24,H 20-24,13,Santiago,RM,C3,Medio,C3,1.195711461
318,Pudahuel,Mujer,27,Falta de educación de calidad,empty,Muy violento,Muy violento,Muy violento,Muy violento,Poco violento,Muy violento,Alcohol y drogas,Celos,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Acuerdo,Desacuerdo,Acuerdo,Acuerdo,Acuerdo,Acuerdo,Sí,Noticias,Programas de reportajes,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por vergüenza,Por dependencia económica,Buscarías ayuda con gente de confianza,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,Sí conoce,Sí,Sí,No,No,Muy frecuente,Muy frecuente,Muy frecuente,Muy frecuente,Poco frecuente,Poco frecuente,Nada frecuente,Muy frecuente,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Media completa,Si,No,Basica incompleta,Obrero calificado capataz junior microempresario,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,25-29,M 25-29,13,Santiago,RM,D,Bajo,D+E,1.351167675
319,San Ramón,Hombre,19,Falta de educación de calidad,empty,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Problemas psicológicos,El machismo de la sociedad chilena,Bastante aceptable,Bastante aceptable,Bastante aceptable,Bastante aceptable,Bastante aceptable,Algo aceptable,Algo aceptable,Bastante aceptable,Algo aceptable,Bastante aceptable,Bastante aceptable,Acuerdo,Acuerdo,Acuerdo,Acuerdo,Acuerdo,Acuerdo,Sí,Teleseries,Programas de farándula,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por los hijos/as,Buscarías apoyo psicológico o de expertos en el tema,Un problema privado que debe ser solucionado por la pareja,Sí conoce,Sí,Sí,Sí,Sí,Frecuente,Muy frecuente,Poco frecuente,Nada frecuente,Poco frecuente,Poco frecuente,Muy frecuente,Frecuente,Sí le ha pasado,Sí le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Universitaria completa,Si,Si,Media incompleta,Obrero calificado capataz junior microempresario,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,H 15-19,13,Santiago,RM,D,Bajo,D+E,1.229894278
320,Temuco,Mujer,26,Falta de educación de calidad,empty,Algo violento,Muy violento,Muy violento,Muy violento,Poco violento,Algo violento,Alcohol y drogas,Celos,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Ni de acuerdo ni en desacuerdo,Desacuerdo,Acuerdo,Acuerdo,Acuerdo,Ni de acuerdo ni en desacuerdo,No,Programas de farándula,No sabe,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por los hijos/as,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Buscarías ayuda con gente de confianza,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,Sí conoce,Sí,No,Sí,Sí,Poco frecuente,Frecuente,Nada frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Nada frecuente,Frecuente,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Técnica superior completa,No,No,Universitaria completa,Ejecutivo medio (sub / gerente) gerente general empresa media o pequeña profesional carrera tradicional,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,25-29,M 25-29,9,Regiones,Sur,ABC1,Alto,ABC1,0.75754559
321,Estación Central,Hombre,27,Falta de educación de calidad,empty,Muy violento,Muy violento,Muy violento,Muy violento,Poco violento,Nada violento,Alcohol y drogas,Infidelidad,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Bastante aceptable,Bastante aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Acuerdo,Acuerdo,Acuerdo,Acuerdo,Acuerdo,Ni de acuerdo ni en desacuerdo,No sabe,Noticias,Teleseries,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por los hijos/as,No responde,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,Sí conoce,No,No,No,Sí,Poco frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Poco frecuente,Sí le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Media incompleta,Si,No,Basica incompleta,Oficio menor obrero no calificado jornalero servicio doméstico con contrato,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,25-29,H 25-29,13,Santiago,RM,E,Bajo,D+E,1.961818564
322,El Bosque,Hombre,18,Drogadicción,empty,Muy violento,Muy violento,Algo violento,Muy violento,Algo violento,Algo violento,Alcohol y drogas,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Acuerdo,Desacuerdo,No,Noticias,Programas de farándula,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por el lazo emocional con la persona agresora,Buscarías ayuda con gente de confianza,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,Sí conoce,Sí,No,Sí,Sí,Frecuente,Poco frecuente,Muy frecuente,Frecuente,Muy frecuente,Muy frecuente,Muy frecuente,Muy frecuente,Sí le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,Sí le ha pasado,Sí le ha pasado,Sí le ha pasado,Sí le ha pasado,Universitaria incompleta (1 a 3 años de estudio),No,Si,Media completa,Obrero calificado capataz junior microempresario,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,H 15-19,13,Santiago,RM,C3,Medio,C3,0.786103727
323,La Serena,Hombre,16,Falta de educación de calidad,empty,Muy violento,Muy violento,Muy violento,Muy violento,Nada violento,Nada violento,Problemas psicológicos,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Bastante aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,No,Noticias,Teleseries,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Tratarías de mantener la relación,Un problema privado que debe ser solucionado por la pareja,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Poco frecuente,Poco frecuente,Poco frecuente,No sabe,Frecuente,Poco frecuente,Poco frecuente,Poco frecuente,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Media incompleta,No,Si,Basica completa,Obrero calificado capataz junior microempresario,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,H 15-19,4,Regiones,Norte,D,Bajo,D+E,0.660742185
324,Pudahuel,Mujer,18,Falta de educación de calidad,empty,Algo violento,Muy violento,Muy violento,Muy violento,Algo violento,Muy violento,Alcohol y drogas,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Noticias,Dibujos animados,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Buscarías ayuda con gente de confianza,Un problema privado que debe ser solucionado por la pareja,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Muy frecuente,Frecuente,Muy frecuente,Muy frecuente,Muy frecuente,Muy frecuente,Poco frecuente,Muy frecuente,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,Sí le ha pasado,Sí le ha pasado,Sí le ha pasado,Media completa,No,Si,Media completa,Estudiante,Sí,Sí,No,No,No,No,No,No,Sí,No,15-19,M 15-19,13,Santiago,RM,D,Bajo,D+E,1.100881022
325,Alto Hospicio,Hombre,20,Drogadicción,empty,Muy violento,Muy violento,Muy violento,Muy violento,Algo violento,Algo violento,Celos,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Acuerdo,Desacuerdo,Sí,Noticias,Teleseries,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Buscarías ayuda con gente de confianza,Un problema privado que debe ser solucionado por la pareja,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Poco frecuente,Frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,Media completa,No,Si,Universitaria completa,Ejecutivo medio (sub / gerente) gerente general empresa media o pequeña profesional carrera tradicional,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20-24,H 20-24,1,Regiones,Norte,ABC1,Alto,ABC1,0.603923322
326,Valparaíso,Hombre,16,Drogadicción,empty,Muy violento,Muy violento,Muy violento,Muy violento,Poco violento,Algo violento,Alcohol y drogas,Problemas psicológicos,Algo aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Bastante aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Acuerdo,Acuerdo,Acuerdo,Ni de acuerdo ni en desacuerdo,No sabe,Teleseries,Programas de farándula,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por el lazo emocional con la persona agresora,Buscarías ayuda con gente de confianza,Un problema privado que debe ser solucionado por la pareja,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Poco frecuente,Poco frecuente,Frecuente,Frecuente,Poco frecuente,Poco frecuente,Frecuente,Muy frecuente,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Media completa,No,Si,Universitaria completa,Empleado administrativo medio y bajo vendedor secretaria técnico especializado profesor,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,H 15-19,5,Regiones,Centro,C2,Alto,C2,0.527797498
327,Temuco,Hombre,18,Falta de educación de calidad,empty,Muy violento,Algo violento,Algo violento,Muy violento,Algo violento,Muy violento,Infidelidad,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Desacuerdo,No,Programas de farándula,Noticias,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por vergüenza,Denunciarías en carabineros,Un problema privado que debe ser solucionado por la pareja,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Frecuente,Frecuente,Poco frecuente,Muy frecuente,Frecuente,Poco frecuente,Muy frecuente,Frecuente,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Media completa,No,No,Postgrado magister doctorado,Empleado administrativo medio y bajo vendedor secretaria técnico especializado profesor,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,H 15-19,9,Regiones,Sur,ABC1,Alto,ABC1,0.689552454
328,Antofagasta,Mujer,18,Falta de educación de calidad,empty,Algo violento,Muy violento,Muy violento,Muy violento,Algo violento,Algo violento,Alcohol y drogas,El machismo de la sociedad chilena,Algo aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Acuerdo,Desacuerdo,No,Teleseries,Programas juveniles,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí,Por miedo,Por el lazo emocional con la persona agresora,Denunciarías en carabineros,Un problema privado que debe ser solucionado por la pareja,Sí conoce,Sí,Sí,Sí,Sí,Frecuente,Frecuente,Frecuente,Frecuente,Poco frecuente,Poco frecuente,Nada frecuente,Poco frecuente,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Media completa,No,Si,Tecnica superior completa,Obrero calificado capataz junior microempresario,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,M 15-19,2,Regiones,Norte,C2,Alto,C2,0.490082988
329,Quilicura,Hombre,22,Falta de educación de calidad,empty,Muy violento,Muy violento,Muy violento,Muy violento,Poco violento,Poco violento,Alcohol y drogas,Historia de violencia en la familia,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Acuerdo,Acuerdo,Acuerdo,Sí,Programas juveniles,Programas de farándula,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,No responde,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Poco frecuente,Poco frecuente,Nada frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Nada frecuente,Frecuente,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,Sí le ha pasado,No le ha pasado,Universitaria incompleta (1 a 3 años de estudio),No,Si,Tecnica superior completa,Empleado administrativo medio y bajo vendedor secretaria técnico especializado profesor,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20-24,H 20-24,13,Santiago,RM,C2,Alto,C2,0.857768537
330,Maipú,Mujer,27,Falta de trabajo,empty,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Celos,Historia de violencia en la familia,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Acuerdo,Acuerdo,Acuerdo,Acuerdo,Acuerdo,Acuerdo,Sí,Teleseries,Programas de farándula,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por dependencia económica,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Denunciarías en carabineros,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,Sí conoce,Sí,Sí,No,Sí,Nada frecuente,Frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Nada frecuente,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Universitaria completa,No,Si,Postgrado magister doctorado,Ejecutivo medio (sub / gerente) gerente general empresa media o pequeña profesional carrera tradicional,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,25-29,M 25-29,13,Santiago,RM,ABC1,Alto,ABC1,0.844542098
331,Padre las Casas,Hombre,26,Falta de educación de calidad,empty,Algo violento,Muy violento,Muy violento,Muy violento,Nada violento,Algo violento,Alcohol y drogas,Celos,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Acuerdo,Desacuerdo,Desacuerdo,Acuerdo,Desacuerdo,Desacuerdo,No,Teleseries,Programas de farándula,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por los hijos/as,Buscarías ayuda con gente de confianza,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Frecuente,Frecuente,Poco frecuente,Frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Frecuente,No le ha pasado,Sí le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,Sí le ha pasado,Universitaria completa,No,No,Media completa,Obrero calificado capataz junior microempresario,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,25-29,H 25-29,9,Regiones,Sur,C3,Medio,C3,1.124756172
332,Coquimbo,Hombre,25,Falta de educación de calidad,empty,Poco violento,Muy violento,Muy violento,Muy violento,Poco violento,Poco violento,Alcohol y drogas,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Bastante aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Acuerdo,Acuerdo,Desacuerdo,No,Teleseries,Programas de farándula,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por vergüenza,Por dependencia económica,Buscarías ayuda con gente de confianza,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Poco frecuente,Muy frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Técnica superior completa,Si,No,Tecnica superior completa,Empleado administrativo medio y bajo vendedor secretaria técnico especializado profesor,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,25-29,H 25-29,4,Regiones,Norte,C2,Alto,C2,0.483257817
333,Recoleta,Mujer,29,Falta de educación de calidad,empty,Muy violento,Muy violento,Muy violento,Muy violento,Algo violento,Muy violento,Problemas psicológicos,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Bastante aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,No,Programas juveniles,Programas de farándula,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por dependencia económica,Denunciarías en carabineros,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Poco frecuente,Poco frecuente,Frecuente,Sí le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Media completa,Si,No,Media completa,Obrero calificado capataz junior microempresario,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,25-29,M 25-29,13,Santiago,RM,C3,Medio,C3,0.863617275
